Time_Seconds,Raw_TX_Bytes_Linux,Calculated_Throughput_Mbps
0,400678430084,5.473216
1,400679122562,5.539824
2,400679798050,5.403904
3,400680477716,5.437328
4,400681159892,5.457408
5,400681834090,5.393584
6,400681843348,0.074064
7,400681843348,0
8,400681843348,0
9,400681843348,0
10,400681843348,0
11,400681843348,0
12,400681843348,0
13,400681843348,0
14,400681843348,0
15,400681843348,0
16,400681844838,0.01192
17,400681844838,0
18,400681844838,0
19,400681844838,0
20,400681844838,0
21,400681844838,0
22,400681844838,0
23,400681844838,0
24,400681844838,0
25,400681851182,0.050752
26,400681851182,0
27,400681851182,0
28,400681851572,0.00312
29,400681851572,0
30,400681994508,1.143488
31,400682676684,5.457408
32,400683355516,5.430656
33,400684031274,5.406064
34,400684713450,5.457408
35,400685377992,5.316336
36,400686063512,5.48416
37,400686707232,5.14976
38,400687389408,5.457408
39,400688068240,5.430656
40,400688703904,5.085312
41,400689361000,5.256768
42,400690039832,5.430656
43,400690688568,5.189888
44,400691369072,5.444032
45,400692050162,5.44872
46,400692715618,5.323648
47,400693396122,5.444032
48,400694078298,5.457408
49,400694757130,5.430656
50,400695429274,5.377152
51,400696113122,5.470784
52,400696796970,5.470784
53,400697462426,5.323648
54,400698142930,5.444032
55,400698823716,5.446288
56,400699497532,5.390528
57,400700178036,5.444032
58,400700800020,4.975872
59,400701468820,5.3504
60,400702149324,5.444032
61,400702833172,5.470784
62,400703512004,5.430656
63,400704195852,5.470784
64,400704878310,5.459664
65,400705557142,5.430656
66,400706237646,5.444032
67,400706914806,5.41728
68,400707598654,5.470784
69,400708280830,5.457408
70,400708947958,5.337024
71,400709628766,5.446464
72,400710320974,5.537664
73,400710989774,5.3504
74,400711670560,5.446288
75,400712352736,5.457408
76,400713033544,5.446464
77,400713712376,5.430656
78,400714387864,5.403904
79,400715068368,5.444032
